id,investor_email,startup_id,amount,created_at
1,noahbahri375@gmail.com,1149,80920.51,2021-09-01
2,waidasinha872@gmail.com,480,147503.72,2020-04-10
3,gaurangsawhney524@gmail.com,1546,151441.35,2020-09-06
4,gautamagate82@gmail.com,681,187810.43,2020-04-04
5,yashodhararajagopal644@gmail.com,3202,40651.33,2023-07-23
6,oviyadas84@gmail.com,3078,197405.38,2020-05-20
7,lakshdesai64@gmail.com,568,66351.33,2020-10-17
8,hardikraju111@gmail.com,150,99609.24,2024-12-20
9,daminimammen578@gmail.com,972,110938.09,2024-02-10
10,gaurangirai844@gmail.com,2023,200666.15,2023-11-03
11,krishakalita638@gmail.com,1850,151810.47,2021-03-01
12,farajmammen632@gmail.com,2190,37554.96,2024-02-02
13,yahvikoshy367@gmail.com,563,71200.55,2023-04-12
14,aachalmemon818@gmail.com,270,165894.4,2022-11-08
15,paninibhavsar195@gmail.com,3553,143674.61,2022-02-18
16,naveenwable906@gmail.com,391,103670.07,2020-10-18
17,saumyaissac645@gmail.com,994,111533.3,2023-03-30
18,diptataneja119@gmail.com,3849,205693.44,2022-10-28
19,anushagoswami183@gmail.com,1226,108584.59,2024-02-29
20,falakbalakrishnan837@gmail.com,2747,142952.7,2024-01-28
21,omyaprabhu510@gmail.com,397,323594.93,2024-02-28
22,ishanviarora887@gmail.com,1170,36105.39,2024-02-17
23,harrisonbalakrishnan389@gmail.com,3036,1852.58,2024-08-04
24,advaithkala928@gmail.com,1685,212687.17,2024-08-12
25,teerthbalasubramanian200@gmail.com,1510,95708.56,2021-04-25
26,bimalaagrawal747@gmail.com,172,124541.0,2020-12-04
27,kashviraja416@gmail.com,3486,87507.49,2021-01-05
28,bhavnachokshi687@gmail.com,3643,129215.99,2022-03-01
29,hamsinibhatia762@gmail.com,3481,277883.05,2023-10-20
30,tanayseth812@gmail.com,433,214170.28,2022-05-16
31,yutikabalan106@gmail.com,2182,218977.88,2024-08-04
32,imaranvasa362@gmail.com,1420,36701.84,2020-02-27
33,niteshbatta712@gmail.com,773,57907.7,2022-10-10
34,eshanaganesh42@gmail.com,3994,77126.29,2024-04-07
35,dhritidate694@gmail.com,1169,85249.53,2021-05-04
36,vedhikamadan730@gmail.com,3053,226536.25,2023-05-09
37,kashishsandal119@gmail.com,2836,191355.72,2022-01-15
