id,name,email,password_hash,otp_code,is_verified,is_active,created_at
1,Kevin Manne,admin1@cfplatform.com,44df767dee7e54a56fe3479d9d9516c947c2ff637dbc9a3132df556bd477a21b,733377,1,1,2021-11-29
2,Chakradhar Dua,admin2@cfplatform.com,89489a9c9e606e830a68e46df14f8d7b916bb1158cfca2e23d18e224d16e9074,992037,1,1,2020-03-18
3,Ekansh Dave,admin3@cfplatform.com,02f08b16754918b035a05c3b299adbea952023357a51f1a37c54767c5434dac8,180123,1,1,2024-04-12
4,Nitesh Mukherjee,admin4@cfplatform.com,94843aad7c9d39911cdef26dd9caef654f8a49a5442603f2eb14d13cedcedcd6,391375,1,1,2020-10-12
5,Amara Mallick,admin5@cfplatform.com,496daee3ebd3ca6f085bde915b4ef4b318bae467ef6b294faea3b0b60b76b9a6,599989,1,1,2021-10-09
6,Odika Dasgupta,admin6@cfplatform.com,4eeaa0301a31dc6eb081139530c0209e4389151848f2b3389715a60724d6aa62,481643,1,1,2023-08-07
7,Ria Ahluwalia,admin7@cfplatform.com,1025d0d073c3893118a1cda9619e9c4fb4f12cede8202ca488fbd2c19bd49e21,864981,1,1,2024-08-25
8,Zayyan Korpal,admin8@cfplatform.com,5c1c84e034d5a71ce42e0798a8adc870be2bab012bbe3bffbd716cb3b548322c,278407,1,1,2022-04-08
9,Abha Sibal,admin9@cfplatform.com,4ffa669c7de97ffe781a993eb8846e2a1b79d8c31e3d3893bfd321aee6606889,345789,1,1,2022-01-20
10,Lajita Viswanathan,admin10@cfplatform.com,9c76671ed64561867be636987c295bc06a8b0b8345c51ada4571f726c9b7fd84,373605,1,1,2020-04-20
11,Amol Nayar,admin11@cfplatform.com,4b2078df1904ce49065e1018ecbffebfe2962fcb204e991a1847b672ecf148a7,914674,1,1,2024-09-11
12,Turvi Walia,admin12@cfplatform.com,9bef13c76f55d19f48113cdc7f394e8d35ef804cfe68decb2685cb37c263cb72,448453,1,1,2022-10-16
13,Aditya Nayak,admin13@cfplatform.com,4518cf29ee25a9a8f7cbc48391e72a41448b9fc57725018c90fe8ebd3271c656,935915,1,1,2020-02-29
14,Tanish Halder,admin14@cfplatform.com,4868397698173fcf3e9d2755cf1f4d8a845ba5aec865ebffc3942fab7ae5317b,186042,1,1,2024-01-27
15,Yashvi Tara,admin15@cfplatform.com,a843c97b1ef37ba48d9405930b7ee38ca6c13085d5f3ef971ceed4182945ece0,878494,1,1,2024-10-22
16,Hritik Bhat,admin16@cfplatform.com,efc0611570c9a534e0a0ab9fe99513bb1dc8e0dca61fc49776ff620b1ec0e535,897326,1,1,2024-05-16
17,Aarini Verma,admin17@cfplatform.com,6b40e87122fe8836b92f7bb998771b5759b65afaa98b3a68df636ea95a67bb5d,360359,1,1,2022-04-21
18,Pooja Puri,admin18@cfplatform.com,8637b476004d931ba4c53fa6876bea86b83ff961e7a363a11c9fb3254da2b2fa,360581,1,1,2020-12-15
19,William Hayre,admin19@cfplatform.com,27063f88596f6ce8197dcbd5179b98ab44b94870886a370c3b2b843218d03d39,370853,1,1,2023-05-14
20,Jairaj Hayer,admin20@cfplatform.com,80634fb4709d0693bb7f1889a1abbad1a688fe2eee181cea6d986bd010ea1761,337420,1,1,2023-01-10
