id,name,description,founder_email,funding_goal,amount_raised,status,created_at
1,Master Group,"Quisquam provident illo. Dolorem ipsum assumenda inventore laudantium inventore. Quas rem omnis consequatur.
Deserunt maiores aut esse voluptatum ea accusamus. Est nulla voluptates facere.",gunbirprabhu760@gmail.com,5993428.31,4204940.32,approved,2022-08-05
2,Tata Ltd,Delectus praesentium quam quisquam excepturi rem esse. Accusantium eum cupiditate dolore. Nulla doloremque rerum repellendus harum.,ladlipandey533@gmail.com,4723471.4,1756111.44,approved,2024-03-30
3,Ray-Mitter,Eos eaque necessitatibus perferendis quia cum. Numquam sit aut numquam iusto sequi explicabo. Vel illum eligendi nihil sapiente laborum aut.,girishdave310@gmail.com,6295377.08,4341536.98,rejected,2020-06-12
4,Joshi and Sons,Eveniet architecto quos consequuntur. Tempore mollitia eligendi consequatur ipsum. Quia non eaque eaque.,yashodharakrishna218@gmail.com,8046059.71,4721224.24,pending,2021-11-30
5,"Chaudhary, Khanna and Apte","Atque repellendus tenetur commodi. Iusto sunt sit cumque nulla saepe nam.
Eos consequuntur omnis veritatis esse vero. Hic voluptates reiciendis inventore maiores distinctio veritatis.",vivaanupadhyay35@gmail.com,4531693.25,1184393.12,pending,2022-03-31
6,"Garde, Chacko and Sarkar",Eius praesentium dolorum laborum. Maiores repellendus necessitatibus doloribus in tenetur. Necessitatibus iusto architecto ea aliquam corporis.,jhalakchakraborty388@gmail.com,4531726.09,2168102.11,pending,2021-01-09
7,Chakraborty Inc,Ab pariatur rem incidunt reiciendis deleniti. Exercitationem id ea reiciendis minima eveniet nesciunt. Accusamus rem sed suscipit esse ut blanditiis nesciunt.,aahanabali119@gmail.com,8158425.63,7129993.58,approved,2024-06-16
8,Gaba Ltd,Officia occaecati aliquam repellat ipsam mollitia corporis. Iusto blanditiis ea ad. Beatae rerum debitis quidem quibusdam nam consequatur.,aarushdhillon482@gmail.com,6534869.46,705673.85,rejected,2021-10-17
9,Raju Group,"Quidem et non odit.
Repudiandae iure sint dolorum qui voluptate temporibus. Cumque libero exercitationem illum.
Fugit eum quae laborum nisi. Quo ab necessitatibus quos fuga.",chamelikhosla742@gmail.com,4061051.23,977456.69,rejected,2020-01-31
10,Kapoor-Karnik,"Modi eos porro earum. Molestiae molestias perspiciatis doloremque.
Eos vel quidem occaecati dolores eveniet. Magni perferendis vero voluptatum.",upadhritideshpande400@gmail.com,6085120.09,3423501.85,pending,2022-04-15
11,"Bhavsar, Ganesan and Ratti","Cum qui nemo doloribus blanditiis voluptate nobis at. Quod culpa facilis error atque aliquam est vel.
Nisi minus distinctio quidem animi eum quia.",riaraman508@gmail.com,4073164.61,2623229.76,pending,2020-07-16
12,Sabharwal Inc,"Qui placeat non suscipit. Iure veritatis consequatur eligendi. Omnis minus ab aliquam.
Velit molestias assumenda doloremque hic.",chandanihayer736@gmail.com,4068540.49,465456.85,pending,2024-11-05
